msa,qc,qcb,qca,qcf
10180,10.0,9.25,10.0,74.75
10420,8.5,6.0,8.5,24.0
10500,8.0,3.75,8.0,35.5
10540,6.25,2.75,6.25,25.75
10580,5.5,4.75,7.5,16.75
10740,4.75,2.75,5.0,16.5
10780,11.0,10.25,11.0,38.25
10900,7.0,4.25,7.0,21.75
11020,16.25,7.5,7.5,39.0
11100,12.75,9.0,5.75,45.0
11180,8.5,8.0,8.5,50.75
11460,6.5,4.75,6.5,23.0
11500,15.0,10.5,11.0,54.5
11540,7.5,7.0,7.5,37.0
11700,3.75,2.0,3.75,26.5
12020,8.75,7.5,8.75,47.5
12060,6.25,6.0,7.0,19.0
12100,5.5,5.25,5.5,37.5
12220,7.75,2.0,7.75,47.75
12260,6.0,5.5,6.5,28.25
12420,5.5,4.25,5.5,19.5
12540,2.75,2.0,2.75,30.5
12580,5.0,3.5,6.5,15.25
12620,7.0,5.25,7.0,50.0
12700,6.0,4.75,6.0,28.75
12940,7.25,6.0,7.25,30.75
12980,11.0,6.75,7.25,35.75
13020,11.25,9.5,11.25,26.75
13140,7.25,5.0,7.25,26.5
13220,9.5,7.0,9.5,31.5
13380,9.25,8.25,10.0,24.75
13460,10.0,8.0,10.0,31.5
13740,8.75,7.0,8.75,48.5
13780,6.75,5.25,7.25,17.75
13820,8.0,7.25,8.0,34.75
13900,12.0,3.5,3.5,25.75
13980,5.25,2.0,5.25,33.75
14010,13.25,8.5,6.5,52.75
14020,9.25,8.75,10.0,39.0
14100,10.5,9.0,10.5,35.25
14260,9.25,5.75,2.0,32.0
14460,4.75,4.25,4.75,12.25
14500,3.5,2.0,4.0,28.0
14540,8.75,5.75,8.75,70.5
14740,7.5,6.75,7.5,29.75
14860,7.5,5.25,7.5,21.25
15180,9.0,5.5,9.0,29.25
15260,11.25,8.5,8.5,40.0
15380,5.25,4.75,6.5,14.75
15500,9.5,8.25,9.5,60.5
15540,6.75,5.5,6.75,38.5
15680,10.5,6.75,11.75,25.25
15940,11.5,6.25,7.0,28.0
15980,6.0,3.75,7.0,13.25
16020,15.75,10.0,3.75,47.0
16060,9.75,8.25,9.75,62.25
16180,10.5,7.25,10.5,22.0
16220,15.25,12.75,15.25,29.75
16300,9.5,6.0,6.0,46.75
16540,8.0,4.5,8.75,31.75
16580,6.75,4.25,7.0,47.5
16620,8.25,6.25,9.75,35.0
16700,8.5,6.0,8.5,22.25
16740,6.25,6.0,6.5,19.75
16820,2.0,2.0,2.0,26.25
16860,8.25,7.75,8.25,32.75
16940,17.75,12.0,17.75,45.75
16980,5.0,4.75,6.0,11.0
17020,6.25,5.0,6.75,32.75
17140,5.25,5.0,5.25,18.0
17300,7.0,2.0,7.0,50.5
17420,8.75,3.25,3.25,50.5
17460,5.25,4.0,5.25,16.25
17660,11.0,10.75,11.0,31.25
17780,9.5,5.5,5.75,48.0
17820,5.5,4.25,6.25,31.25
17860,10.25,9.25,10.25,43.25
17900,7.5,5.5,7.5,30.75
17980,6.75,5.0,7.25,24.25
18020,14.75,14.0,14.75,35.75
18140,7.5,7.0,7.75,17.5
18580,6.75,6.0,7.0,29.0
18700,7.25,3.75,7.25,30.25
18880,6.0,4.5,6.0,29.0
19060,11.75,9.5,12.25,50.25
19100,7.0,6.5,7.0,13.0
19140,11.5,8.0,11.5,42.0
19180,10.25,9.5,10.25,36.0
19300,12.0,8.0,12.0,33.0
19340,6.0,4.25,6.25,37.0
19430,6.25,6.0,7.5,26.25
19460,13.0,12.75,13.0,46.0
19500,10.0,9.0,10.0,40.5
19660,3.75,2.0,3.75,20.5
19740,4.75,4.5,5.75,13.5
19780,8.25,8.0,9.5,25.75
19820,6.25,5.75,6.25,14.25
20020,10.5,8.75,10.5,41.75
20100,9.75,9.25,9.75,27.0
20220,13.25,13.0,13.25,49.0
20260,8.0,7.5,8.5,41.0
20500,5.25,4.75,5.25,24.0
20700,7.5,5.5,7.5,29.75
20740,8.0,7.25,8.0,40.25
20940,6.5,2.0,7.5,57.25
21060,7.25,5.75,7.25,38.5
21140,8.5,7.25,8.5,32.5
21300,11.75,11.0,4.75,25.25
21340,5.25,3.5,6.5,14.5
21420,19.0,15.0,10.25,32.75
21500,7.0,5.0,9.5,37.5
21660,8.25,6.0,8.25,24.75
21780,7.75,6.5,7.75,30.75
22020,10.25,7.75,10.5,46.25
22140,8.0,2.0,8.0,24.0
22180,6.25,6.0,8.25,21.5
22220,10.5,10.25,10.5,48.5
22380,4.75,3.0,3.0,43.75
22420,6.75,6.0,7.25,19.25
22500,12.5,10.0,10.25,44.5
22520,10.75,10.0,10.75,46.75
22540,11.0,7.75,9.0,29.0
22660,11.25,9.25,2.0,54.75
22900,8.75,6.5,6.5,47.25
23060,6.75,6.25,7.25,29.25
23420,4.25,4.0,4.5,17.75
23460,13.0,9.25,13.0,34.75
23540,8.25,5.5,2.0,51.0
23580,12.0,6.25,12.0,24.0
23900,9.0,8.5,8.5,38.75
24020,9.75,5.5,6.0,35.0
24140,9.5,5.75,9.5,47.0
24220,6.5,6.0,6.5,44.25
24260,7.25,2.0,7.25,62.75
24300,12.5,10.5,10.5,31.75
24340,8.25,6.25,8.25,21.75
24420,6.25,4.25,6.25,32.5
24500,12.25,6.25,12.25,33.5
24540,6.0,4.0,4.0,36.5
24580,4.75,4.25,4.75,25.75
24660,7.5,6.25,7.5,26.25
24780,10.5,6.75,10.5,44.5
24860,7.75,7.0,7.75,22.25
25060,9.0,7.25,9.0,32.0
25180,8.5,8.0,8.5,33.75
25220,12.75,11.25,12.75,39.75
25260,4.0,2.0,4.0,48.75
25420,4.5,2.0,4.5,32.0
25540,5.25,3.25,5.5,18.0
25620,10.5,8.0,10.5,49.25
25860,9.5,8.75,9.5,25.0
25940,5.5,2.0,5.5,27.75
25980,14.25,10.25,14.25,32.75
26140,11.25,11.0,11.25,30.25
26300,10.75,9.5,10.75,26.25
26380,8.75,8.5,8.75,49.5
26420,7.25,5.75,7.75,14.75
26580,7.25,6.0,7.25,32.0
26620,8.75,6.5,8.75,28.75
26820,9.0,2.5,2.5,44.25
26900,8.5,7.75,8.5,27.0
26980,11.25,8.25,11.75,42.25
27060,9.5,6.5,9.5,36.25
27100,9.5,7.75,9.5,22.5
27140,6.75,5.75,6.75,31.0
27180,11.5,11.25,11.5,47.25
27260,5.75,4.0,5.75,25.25
27340,5.75,5.5,5.75,39.75
27500,8.0,7.75,8.0,28.25
27620,7.75,2.25,7.75,48.25
27740,8.5,7.0,8.75,41.75
27780,9.0,8.0,9.0,35.5
27860,8.25,2.0,8.25,59.75
27900,8.75,7.5,8.75,41.5
28020,6.0,3.75,6.0,24.0
28100,9.75,9.5,9.75,44.0
28140,6.5,5.5,6.5,19.5
28420,6.75,6.5,7.0,32.0
28660,8.5,7.0,8.75,45.75
28700,8.75,7.5,9.5,33.25
28740,5.25,2.25,5.25,39.25
28940,11.0,10.75,11.0,29.75
29020,11.75,7.5,11.75,37.0
29100,11.75,11.5,11.75,55.5
29180,7.25,6.25,9.75,31.5
29200,8.5,7.0,8.5,53.0
29340,6.25,3.25,6.75,35.0
29420,4.0,2.0,4.25,46.5
29460,7.0,6.75,7.25,19.0
29540,6.5,6.25,6.5,18.75
29620,6.5,5.5,6.5,25.25
29700,9.25,6.25,9.25,31.0
29740,5.75,3.5,5.75,31.0
29820,5.5,4.75,5.75,16.25
29940,8.5,7.5,8.5,42.0
30020,11.5,11.25,7.25,51.5
30140,6.5,5.75,6.5,31.0
30300,12.0,2.0,12.0,29.25
30340,2.0,2.0,2.0,31.25
30460,5.75,5.5,6.25,29.75
30620,10.0,6.75,10.0,35.5
30700,8.75,8.0,9.5,43.0
30780,7.25,5.75,7.25,36.5
30860,12.5,8.0,8.0,36.25
30980,10.0,2.0,11.0,39.0
31020,7.0,3.75,8.25,27.25
31080,4.0,3.75,4.25,8.0
31140,3.0,2.75,3.0,22.5
31180,8.75,8.25,3.5,50.25
31340,5.0,2.75,2.75,42.75
31420,10.0,8.0,8.0,60.5
31460,2.0,2.0,2.0,33.0
31540,5.25,4.0,5.75,30.25
31700,7.0,4.0,7.0,28.5
31740,7.75,5.5,7.75,49.5
31860,8.0,3.75,3.75,37.0
31900,14.5,14.25,14.5,30.5
32580,6.75,6.0,7.75,25.5
32780,12.0,4.0,4.0,23.5
32820,7.0,5.5,8.5,22.0
32900,2.25,2.0,2.25,25.5
33100,5.5,5.25,5.75,12.75
33140,7.25,4.75,7.25,29.0
33220,11.75,10.75,12.0,30.0
33260,10.0,8.25,10.25,38.25
33340,6.5,4.5,6.5,17.5
33460,6.0,5.5,6.0,13.5
33540,11.25,9.5,11.5,31.0
33660,8.25,7.75,9.25,40.75
33700,5.5,4.5,5.75,16.0
33740,10.25,8.75,10.25,40.0
33780,7.5,6.75,7.5,31.25
33860,8.25,6.5,8.25,37.25
34060,7.25,6.5,7.25,33.5
34100,13.75,10.0,3.75,48.25
34580,8.0,2.0,8.0,27.25
34620,10.25,8.5,12.5,52.25
34740,7.25,5.0,7.25,29.25
34820,8.25,8.0,8.25,25.0
34900,5.75,3.0,2.0,21.75
34940,6.75,4.75,6.75,49.25
34980,8.5,6.0,8.5,24.5
35100,9.0,2.25,9.25,29.0
35300,6.0,5.75,6.75,22.75
35380,5.0,3.75,5.0,16.0
35620,6.25,5.5,6.5,9.25
35660,7.0,3.75,7.0,30.0
35840,6.0,4.25,6.5,20.25
35980,8.25,8.0,6.0,33.5
36100,7.25,6.5,7.25,31.0
36140,5.75,4.75,5.75,23.5
36220,10.5,9.5,10.5,24.5
36260,7.75,5.75,7.75,23.75
36420,7.5,7.25,7.5,20.0
36500,6.25,5.5,6.25,23.5
36540,6.25,5.5,6.25,25.5
36740,7.5,7.25,7.5,21.0
36780,4.75,3.75,4.75,32.0
36980,12.0,7.5,7.5,38.0
37100,3.75,2.0,3.75,18.75
37340,5.75,2.5,5.75,21.75
37460,7.0,5.5,7.0,23.25
37620,9.25,7.75,9.25,33.25
37860,4.25,3.0,4.25,26.75
37900,7.5,5.75,7.5,31.75
37980,6.25,5.0,6.75,11.0
38060,5.5,5.25,5.75,11.25
38220,12.25,9.75,12.25,55.0
38300,6.25,6.0,7.0,21.0
38340,4.25,2.0,4.25,29.5
38540,8.25,3.75,9.75,38.75
38860,5.5,4.75,5.5,25.5
38900,5.5,5.25,5.5,18.5
38940,5.75,3.75,5.75,24.25
39100,7.75,6.5,6.5,21.25
39150,8.0,5.75,9.5,34.25
39300,6.5,6.25,7.25,13.75
39340,7.0,5.75,7.25,33.5
39380,13.0,8.25,8.25,38.5
39460,5.25,2.0,5.25,26.25
39540,7.0,6.0,7.0,29.75
39580,6.75,5.5,7.5,18.5
39660,12.5,6.75,6.75,28.25
39740,7.0,3.25,3.25,26.0
39820,11.0,4.75,4.75,43.5
39900,9.0,7.0,2.0,14.75
40060,5.0,4.75,5.0,21.5
40140,5.75,3.0,6.25,11.75
40220,5.75,4.0,5.75,37.25
40340,7.0,6.0,8.0,65.5
40380,6.5,5.25,7.5,18.25
40420,10.0,8.25,5.75,21.5
40580,9.0,5.25,9.0,33.25
40660,18.5,13.0,13.0,32.0
40900,5.0,4.5,5.0,13.5
40980,8.25,8.0,8.5,37.5
41060,8.0,3.0,8.0,39.0
41100,9.75,6.75,9.75,36.25
41140,10.5,9.0,9.0,44.25
41180,6.0,5.5,6.5,15.25
41420,6.75,5.75,7.5,20.5
41500,7.5,6.75,7.5,22.0
41540,6.5,4.5,6.75,25.25
41620,7.5,5.75,7.75,19.5
41660,11.5,9.5,11.5,32.0
41700,7.25,7.0,7.25,22.5
41740,5.75,5.5,6.75,13.25
41860,4.5,3.0,4.5,11.0
41940,4.5,4.0,4.5,14.75
42020,5.25,2.0,5.75,25.0
42100,4.5,3.0,4.75,21.5
42140,6.25,2.0,2.0,28.5
42200,3.75,2.75,3.75,17.75
42220,5.75,2.5,5.75,24.0
42340,7.75,5.5,7.75,29.75
42540,7.0,6.0,7.0,24.25
42660,5.5,5.25,6.0,11.25
42680,7.75,5.5,7.75,23.75
42700,9.5,9.0,9.5,35.5
43100,8.0,6.25,8.0,30.5
43300,12.5,10.5,13.25,45.5
43340,10.0,7.0,10.25,34.0
43420,3.5,3.0,3.5,39.0
43580,11.25,9.0,11.75,47.0
43620,9.0,7.75,9.0,63.0
43780,6.75,6.25,7.5,37.75
43900,8.25,7.0,8.5,34.75
44060,6.25,4.75,6.75,22.0
44100,7.0,3.75,7.0,38.5
44140,7.5,5.75,5.75,18.25
44180,8.5,8.25,9.0,36.5
44220,7.25,2.0,10.0,36.75
44300,9.0,7.0,9.0,37.5
44700,3.25,2.75,3.25,19.5
44940,11.25,9.0,11.25,34.5
45060,7.25,7.0,7.25,19.75
45220,5.5,4.25,5.75,26.5
45300,5.75,5.5,6.5,11.5
45460,10.0,8.75,10.25,63.75
45500,12.5,8.5,12.5,50.0
45540,5.5,2.0,5.5,31.5
45780,6.5,2.5,8.0,23.0
45820,11.5,7.75,8.25,50.5
45940,4.75,2.5,4.75,22.25
46060,4.75,4.0,4.75,15.0
46140,5.75,5.5,7.75,27.75
46220,9.5,8.25,9.5,58.75
46300,12.25,9.25,12.75,39.25
46340,9.0,8.5,9.0,38.5
46540,7.25,5.5,8.5,29.25
46660,10.0,2.0,10.0,32.75
46700,4.5,2.25,4.5,21.0
47020,8.5,2.0,8.5,40.25
47220,10.0,6.75,10.0,27.0
47260,4.25,3.25,5.0,18.5
47300,6.75,5.75,6.75,17.5
47380,10.0,8.0,10.0,52.75
47460,10.25,2.0,2.0,20.25
47580,13.25,10.75,9.0,32.0
47900,4.5,4.25,4.75,12.25
47940,11.75,10.5,11.75,51.75
48060,12.25,11.75,12.25,30.0
48140,10.75,9.25,7.75,41.0
48260,6.5,3.5,6.5,36.5
48300,6.75,2.0,2.0,31.25
48540,8.75,5.75,8.75,40.0
48620,7.5,6.5,7.75,30.5
48660,13.75,12.75,13.75,68.5
48700,12.5,5.5,5.5,50.0
48900,7.0,5.5,7.0,30.25
49020,6.0,2.0,6.0,38.5
49180,6.75,5.0,6.75,21.5
49340,4.5,4.0,4.75,17.0
49420,9.0,8.25,10.5,35.25
49620,8.25,8.0,8.25,20.5
49660,8.5,7.5,8.5,28.5
49700,6.75,5.0,6.75,24.5
49740,8.0,6.0,9.0,28.25
