msa,qc,qcb,qca,qcf
10180,10.25,8.5,10.25,71.25
10420,6.5,5.75,6.5,24.0
10500,8.0,2.5,16.75,28.5
10540,7.25,3.75,7.25,29.75
10580,4.75,3.5,4.75,16.0
10740,6.5,3.25,6.5,17.0
10780,10.75,9.5,11.25,31.25
10900,6.75,3.25,3.25,20.5
11020,9.25,7.5,7.5,34.25
11100,13.0,12.0,6.0,43.0
11180,11.5,10.25,11.5,43.5
11460,6.5,4.25,6.75,23.5
11500,14.0,11.5,11.5,44.0
11540,8.25,7.5,8.25,37.0
11700,3.25,2,3.25,22.0
12020,9.0,2,9.0,53.75
12060,6.5,6.0,6.5,19.0
12100,7.0,6.25,5.25,34.0
12220,6.5,2,6.5,33.25
12260,7.75,6.75,7.75,28.0
12420,5.5,5.25,5.5,21.0
12540,3.75,2,2,26.75
12580,6.0,5.5,6.0,14.75
12620,10.25,6.5,6.5,49.75
12700,5.25,4.5,5.25,32.5
12940,5.75,5.5,5.75,26.25
12980,11.0,7.0,7.5,36.75
13020,10.0,8.0,11.0,23.25
13140,7.25,5.75,8.25,27.75
13220,11.25,5.5,11.25,34.5
13380,10.0,2,10.5,31.0
13460,11.5,8.5,8.5,30.75
13740,11.5,8.0,6.25,46.75
13780,9.0,6.0,6.0,19.25
13820,9.25,8.0,9.5,30.75
13900,15.25,14.25,14.25,24.0
13980,4.0,2,4.0,38.25
14010,13.75,10.0,15.25,47.25
14020,8.75,8.5,8.75,35.5
14100,10.75,10.0,10.0,27.5
14260,8.75,6.5,8.75,23.75
14460,6.75,5.25,6.75,14.25
14500,3.5,3.25,3.5,31.75
14540,8.25,6.5,6.5,54.5
14740,8.75,3.75,3.75,27.25
14860,6.5,4.25,6.5,20.0
15180,7.0,6.5,7.0,27.5
15260,11.5,10.75,13.25,40.25
15380,6.5,6.0,6.5,14.25
15500,8.5,5.25,8.5,34.0
15540,8.75,6.75,8.75,35.25
15680,8.5,2,8.5,25.5
15940,9.5,5.75,5.75,26.5
15980,6.5,4.0,7.25,14.0
16020,16.5,10.75,10.75,49.25
16060,10.25,9.0,10.25,57.0
16180,10.5,9.75,10.75,27.5
16220,16.5,13.25,16.5,29.25
16300,10.75,8.0,10.75,45.75
16540,6.5,2,6.5,30.75
16580,7.75,3.75,8.0,47.0
16620,9.25,5.75,9.75,32.25
16700,7.75,7.25,7.75,21.75
16740,7.25,6.25,7.5,20.75
16820,2,2,2,22.25
16860,10.0,9.5,10.0,31.25
16940,17.0,9.75,20.75,33.25
16980,6.5,5.25,6.5,10.75
17020,6.25,5.0,7.25,34.75
17140,5.5,5.0,5.5,16.5
17300,7.0,2,7.0,49.0
17420,8.75,2.75,10.0,30.5
17460,6.0,4.25,7.0,17.0
17660,11.25,9.75,11.25,27.0
17780,10.5,5.25,5.25,45.5
17820,5.5,3.75,7.25,26.25
17860,7.25,6.75,9.5,63.0
17900,5.5,2.75,5.5,25.25
17980,9.25,7.0,5.25,24.0
18020,15.25,10.75,15.25,38.0
18140,8.75,6.5,9.0,18.75
18580,7.0,6.25,7.25,27.25
18700,7.0,2.25,8.75,36.0
18880,6.0,2,6.0,32.0
19060,9.5,2,9.5,68.75
19100,6.5,6.0,6.5,13.5
19140,13.5,12.0,13.5,40.25
19180,11.25,10.75,11.25,39.75
19300,14.0,13.75,14.0,40.5
19340,8.0,6.25,8.0,34.25
19430,7.25,6.75,8.25,22.75
19460,13.0,12.75,14.5,43.25
19500,11.25,9.25,21.5,32.5
19660,4.75,4.5,4.75,20.25
19740,4.75,4.0,5.0,15.25
19780,8.25,6.75,8.25,25.0
19820,6.0,5.25,7.25,13.25
20020,9.75,8.75,11.5,45.75
20100,9.75,8.5,9.75,28.0
20220,13.75,13.5,14.25,41.25
20260,5.0,3.75,5.0,23.75
20500,4.75,4.0,4.75,21.75
20700,8.0,5.25,8.0,25.75
20740,8.75,4.75,8.75,36.5
20940,7.5,7.0,7.5,60.25
21060,8.5,2,8.5,39.0
21140,10.75,10.5,10.75,34.75
21300,9.75,7.25,9.75,27.5
21340,5.5,3.25,6.0,14.5
21420,12.5,2,12.5,35.0
21500,9.25,7.75,9.75,29.0
21660,8.75,6.25,8.75,28.0
21780,8.0,7.0,8.0,27.25
22020,11.25,7.0,7.0,38.0
22140,8.75,8.25,8.75,20.25
22180,5.5,4.75,5.5,21.25
22220,11.0,10.25,11.25,43.25
22380,2,2,2,39.75
22420,6.75,6.5,6.75,20.0
22500,9.25,8.25,9.25,47.25
22520,12.0,9.75,12.0,63.25
22540,11.5,8.25,8.25,28.25
22660,10.0,3.25,3.25,28.75
22900,6.5,2,6.5,46.25
23060,7.75,6.5,10.75,32.25
23420,5.25,2,2,16.75
23460,11.5,8.25,12.0,32.0
23540,9.5,6.5,6.75,51.5
23580,12.75,11.75,12.75,25.75
23900,8.5,6.5,9.5,65.75
24020,9.0,5.0,10.0,30.25
24140,11.25,6.75,18.0,39.25
24220,6.5,2,6.5,33.5
24260,8.75,2,8.75,56.5
24300,10.5,8.75,10.5,33.0
24340,7.5,6.0,7.5,20.25
24420,9.0,8.75,9.0,44.25
24500,13.25,9.0,13.25,32.0
24540,5.5,3.75,5.5,51.0
24580,8.25,6.75,8.5,25.75
24660,6.75,6.0,7.5,24.0
24780,12.75,10.5,13.5,64.5
24860,8.0,7.75,8.0,23.0
25060,9.25,8.5,9.5,31.75
25180,8.0,7.75,8.0,36.25
25220,12.75,12.5,12.75,35.75
25260,7.0,2,7.0,42.25
25420,4.75,3.25,4.75,26.25
25540,6.0,5.25,6.0,19.25
25620,11.0,8.75,11.0,41.5
25860,7.25,2,7.25,24.5
25940,5.75,2,5.75,28.0
25980,9.75,2,9.75,39.5
26140,11.0,10.0,11.0,30.75
26300,14.0,12.75,14.0,28.75
26380,9.0,7.25,9.0,76.0
26420,7.25,6.5,7.25,16.0
26580,8.25,7.75,8.25,31.25
26620,7.75,7.25,8.0,30.0
26820,9.0,2.75,9.0,42.25
26900,7.0,6.25,7.0,26.25
26980,7.5,2,7.5,34.0
27060,7.5,7.25,7.5,66.75
27100,9.75,8.25,9.75,27.0
27140,6.25,4.25,7.5,31.0
27180,15.25,12.5,10.5,45.75
27260,5.5,3.0,5.5,23.5
27340,8.25,7.75,9.0,33.0
27500,5.0,2,5.0,28.0
27620,9.25,2,9.25,53.5
27740,8.75,7.25,8.75,37.0
27780,9.75,8.5,9.75,32.75
27860,14.75,12.0,14.75,54.75
27900,10.25,9.25,10.25,37.75
28020,8.0,7.25,8.0,19.75
28100,15.25,14.0,15.25,37.25
28140,6.5,6.0,6.5,19.25
28420,5.75,5.0,5.75,31.5
28660,8.0,7.0,8.0,48.75
28700,9.0,8.75,9.0,54.0
28740,3.0,2.75,3.75,37.5
28940,11.25,9.5,11.5,29.0
29020,13.5,2,13.5,35.75
29100,11.5,9.25,11.5,44.25
29180,9.0,8.25,9.0,30.75
29200,8.25,8.0,10.0,39.5
29340,7.5,7.0,7.5,39.25
29420,4.75,2,5.25,36.25
29460,7.0,6.25,7.0,18.75
29540,8.25,7.75,9.0,17.0
29620,6.5,6.25,6.75,22.5
29700,10.75,8.75,8.75,32.5
29740,9.25,3.5,4.25,32.25
29820,6.25,5.5,6.5,16.0
29940,8.0,6.75,6.75,41.25
30020,12.0,9.0,9.0,45.25
30140,7.5,7.25,8.25,34.0
30300,15.75,8.5,17.0,25.5
30340,11.0,2,2,26.5
30460,7.0,5.75,7.75,31.0
30620,12.0,10.75,12.25,30.25
30700,9.75,9.0,9.75,39.0
30780,7.75,7.25,7.75,32.5
30860,8.0,2,8.0,29.0
30980,10.0,8.75,10.0,35.0
31020,7.25,2,7.25,26.25
31080,4.75,4.5,5.0,8.25
31140,7.5,6.25,8.25,21.75
31180,8.0,7.5,8.5,30.0
31340,5.25,3.25,5.25,40.25
31420,8.0,7.25,10.25,46.25
