msa,qc,qcb,qca,qcf
10180,10.0,7.75,10.0,45.75
10420,7.0,4.0,8.0,21.25
10500,8.25,8.0,9.0,32.5
10540,9.25,5.0,9.5,30.0
10580,5.25,4.75,5.25,17.25
10740,3.75,2.25,5.0,15.25
10780,11.25,11.0,11.25,30.75
10900,6.5,3.25,3.25,19.75
11020,12.0,7.0,7.0,29.25
11100,11.25,7.5,7.5,32.5
11180,10.5,9.0,10.5,36.25
11460,6.5,3.25,4.5,22.25
11500,12.0,11.0,12.0,40.0
11540,7.5,6.0,8.0,33.25
11700,3.75,2.0,3.75,23.5
12020,9.0,3.25,9.25,34.25
12060,6.5,5.5,7.0,18.25
12100,7.25,6.5,8.75,40.75
12220,8.25,6.25,8.25,31.75
12260,6.5,6.0,6.5,27.5
12420,5.0,4.75,5.0,18.0
12540,8.25,5.75,2.25,23.75
12580,5.75,5.5,6.0,13.0
12620,9.25,8.75,9.25,49.75
12700,6.75,3.75,6.75,31.0
12940,4.75,3.25,5.0,27.25
12980,11.75,8.0,8.0,41.25
13020,9.75,4.75,9.75,22.5
13140,6.75,6.25,6.75,24.25
13220,12.5,5.25,5.25,33.0
13380,8.75,2.0,9.5,36.0
13460,11.25,7.75,11.75,39.75
13740,11.0,6.25,6.25,47.5
13780,7.0,6.0,7.0,18.0
13820,8.0,7.75,8.0,29.75
13900,3.0,2.0,3.0,23.5
13980,3.75,2.0,3.75,33.75
14010,9.0,7.5,9.0,29.5
14020,12.75,8.25,8.25,29.0
14100,9.25,7.75,2.25,26.75
14260,8.0,7.0,8.0,25.5
14460,4.75,4.0,4.75,12.5
14500,4.0,2.75,4.5,24.0
14540,7.0,5.5,7.0,41.0
14740,9.5,5.0,5.0,26.75
14860,5.5,3.5,5.75,21.25
15180,8.5,7.75,8.5,24.25
15260,10.0,9.5,10.75,39.75
15380,6.25,5.0,6.25,17.5
15500,8.5,4.0,8.75,28.5
15540,7.25,5.25,7.25,35.5
15680,10.0,9.75,10.0,23.0
15940,7.0,6.0,7.75,25.5
15980,5.5,4.5,5.5,12.25
16020,14.5,8.5,2.75,48.5
16060,10.5,7.5,10.5,49.25
16180,10.0,3.0,10.5,18.5
16220,16.5,15.25,16.5,27.25
16300,8.75,6.25,6.25,41.25
16540,7.5,6.75,7.5,29.0
16580,6.75,3.5,8.75,42.75
16620,7.75,7.5,8.5,32.75
16700,5.75,5.5,5.75,24.25
16740,6.25,6.0,7.0,20.0
16820,2.0,2.0,2.0,25.0
16860,8.0,5.25,8.0,29.75
16940,13.25,10.5,10.5,45.5
16980,5.75,5.0,5.75,10.75
17020,5.25,2.75,5.25,28.5
17140,5.5,5.25,7.5,16.75
17300,7.5,7.25,7.5,45.5
17420,9.0,2.0,2.0,28.25
17460,4.25,3.5,4.25,16.75
17660,10.5,7.5,10.5,25.25
17780,8.25,4.25,5.0,44.25
17820,5.25,4.75,5.25,24.25
17860,6.75,2.0,6.75,51.75
17900,4.5,4.25,5.5,26.75
17980,6.25,6.0,6.25,24.0
18020,9.25,8.0,9.25,32.5
18140,6.75,6.5,7.0,16.25
18580,6.25,6.0,6.25,24.5
18700,7.25,2.5,9.5,36.25
18880,8.5,7.0,8.5,29.25
19060,7.75,3.5,7.75,29.75
19100,6.0,4.75,6.25,12.5
19140,12.0,11.5,12.0,38.0
19180,11.0,9.75,9.75,35.25
19300,14.25,13.0,14.25,36.0
19340,6.25,5.5,6.25,34.75
19430,6.75,6.25,7.0,22.25
19460,10.0,9.5,11.0,41.25
19500,10.25,7.5,10.25,30.0
19660,5.0,4.25,5.0,20.0
19740,5.25,5.0,5.25,13.25
19780,8.5,6.0,8.5,23.25
19820,6.0,5.75,6.5,13.0
20020,9.5,8.0,9.5,47.5
20100,10.0,8.75,10.75,27.25
20220,14.0,11.25,14.25,40.75
20260,7.75,5.25,3.5,30.0
20500,4.5,3.75,4.5,24.0
20700,8.0,4.75,4.75,29.5
20740,9.75,7.75,4.25,40.75
20940,5.25,2.0,5.25,56.75
21060,7.0,5.0,7.0,38.25
21140,8.75,7.5,8.75,30.5
21300,8.5,2.0,2.0,26.5
21340,5.5,5.0,5.5,13.5
21420,11.75,6.75,13.0,28.0
21500,9.0,7.0,9.25,21.5
21660,7.25,5.0,7.5,29.0
21780,7.75,5.5,5.5,26.25
22020,10.25,6.0,11.25,43.0
22140,6.0,2.0,6.0,23.0
22180,5.75,4.5,5.75,20.25
22220,8.5,8.0,8.5,41.5
22380,3.0,2.0,4.0,40.5
22420,7.5,6.5,7.75,23.0
22500,11.0,9.0,9.0,38.75
22520,12.0,10.25,12.0,49.5
22540,11.75,7.5,8.25,28.0
22660,12.0,2.0,2.0,30.75
22900,7.0,6.5,7.25,43.75
23060,7.0,6.75,7.25,31.75
23420,4.25,2.0,4.25,18.25
23460,13.5,8.25,8.25,33.0
23540,7.25,5.5,7.25,63.0
23580,11.75,11.25,11.75,24.75
23900,7.5,6.0,7.5,28.75
24020,6.0,5.0,6.0,29.0
24140,11.25,10.5,11.5,35.75
24220,6.0,2.25,6.0,47.75
24260,10.0,9.5,10.0,58.75
24300,11.0,8.75,11.0,32.25
24340,6.75,5.25,7.0,20.75
24420,8.5,5.5,8.5,37.25
24500,10.75,5.5,10.75,29.25
24540,4.5,4.0,4.5,40.75
