msa,qc,qcb,qca,qcf
33100,8.25,7.25,8.5,20.75
33140,13.25,4.75,13.25,28.25
33220,10.75,5.5,10.75,42.5
33260,14.5,2,14.5,72.5
33340,4.75,4.25,10.0,16.75
33460,6.75,6.25,9.5,27.0
33540,12.75,6.25,12.75,66.5
33660,25.75,23.5,8.0,95.5
33700,8.25,4.5,11.5,38.25
33740,15.25,9.75,15.25,82.25
33780,4.5,4.0,11.25,32.0
33860,28.25,5.75,28.25,116.25
34060,7.25,5.75,7.25,29.25
34100,15.25,14.0,17.5,40.5
34580,7.75,6.25,7.75,33.5
34620,5.75,2.75,7.0,27.75
34740,11.5,7.0,12.5,35.25
34820,14.5,6.5,14.5,95.5
34900,3.75,2,4.25,20.5
34940,8.75,2,8.75,108.5
34980,12.25,11.25,13.25,77.25
35100,9.75,7.25,9.75,87.75
35300,5.25,3.75,6.25,19.0
35380,7.25,6.75,7.25,56.5
35620,5.75,4.5,5.75,9.75
35660,4.5,2.5,4.5,36.25
35840,13.75,7.75,13.75,88.75
35980,5.25,3.25,6.0,32.0
36100,14.25,2.25,15.5,74.75
36140,8.5,7.25,9.75,36.75
36220,14.25,2,14.25,62.5
36260,12.25,11.0,12.25,42.0
36420,18.25,12.25,18.25,45.75
36500,8.75,6.25,8.75,47.75
36540,6.5,5.75,6.75,23.5
36740,41.75,14.75,49.5,129.75
36780,9.0,5.75,10.25,37.5
36980,14.75,13.5,14.75,83.25
37100,4.75,4.0,5.0,27.0
37340,16.5,13.0,13.0,87.25
37460,27.75,24.5,27.75,56.75
37620,13.0,8.5,13.0,42.5
37860,17.75,10.5,25.5,122.5
37900,9.25,6.25,9.75,51.75
37980,4.5,3.25,4.75,12.25
38060,7.5,4.0,8.5,26.25
38220,16.5,3.75,16.5,49.25
38300,7.0,5.5,7.0,17.25
38340,2.75,2.5,3.5,13.5
38540,6.75,4.0,6.75,45.5
38860,3.25,3.0,3.25,22.5
38900,7.5,7.0,8.75,17.25
38940,18.25,8.5,8.5,118.5
39100,2.75,2.5,2.75,14.25
39150,9.75,8.5,9.75,148.75
39300,5.25,3.75,5.25,16.25
39340,7.25,7.0,7.25,53.25
39380,6.0,3.5,6.0,97.25
39460,12.75,12.5,12.75,64.0
39540,5.5,2.25,5.5,48.75
39580,13.25,12.75,13.5,82.5
39660,8.25,3.25,8.25,50.75
39740,6.25,5.5,6.25,36.0
39820,7.5,2,2,28.0
39900,11.0,4.5,11.0,36.0
40060,6.25,5.25,6.25,39.25
40140,3.5,2,3.75,26.75
40220,8.0,7.0,14.0,46.75
40340,10.5,5.0,2,59.0
40380,5.5,5.25,5.5,21.5
40420,10.5,7.5,12.25,45.25
40580,10.5,5.75,12.25,44.75
40660,29.75,25.25,29.75,66.75
40900,7.0,5.5,8.0,35.25
40980,6.25,2.25,6.75,48.25
41060,13.75,7.75,15.0,82.5
41100,21.5,18.5,27.75,88.5
41140,5.75,4.5,4.5,59.5
41180,12.25,6.75,12.75,48.5
41420,8.25,5.75,8.25,40.25
41500,6.5,3.5,4.25,28.25
41540,10.5,7.5,10.5,34.75
41620,16.5,5.25,16.5,81.25
41660,16.25,8.75,20.5,65.25
41700,27.5,24.75,27.5,45.5
41740,6.75,5.75,7.0,18.0
41860,3.75,3.25,3.75,17.25
