msa,qc,qcb,qca,qcf
10180,10.5,8.0,10.5,61.5
10420,8.25,7.0,8.75,28.75
10500,10.0,8.25,13.75,34.25
10540,9.0,8.25,9.0,32.0
10580,7.75,6.0,8.0,26.0
10740,5.75,3.5,5.75,18.25
10780,14.0,12.25,14.0,42.0
10900,3.25,2,3.25,25.75
11020,11.25,10.0,6.5,45.75
11100,13.25,12.75,5.25,33.0
11180,9.5,9.0,9.5,69.5
11460,9.5,5.75,9.5,29.5
11500,12.25,6.25,12.25,74.0
11540,10.5,10.0,10.5,40.75
11700,4.0,2,4.0,37.75
12020,12.25,8.75,12.25,72.0
12060,8.5,8.0,10.0,19.0
12100,9.75,8.5,9.75,43.5
12220,6.75,2,6.75,66.0
12260,6.25,5.75,6.25,29.25
12420,8.0,7.5,8.0,47.5
12540,3.5,2,3.5,37.5
12580,6.5,5.25,6.5,17.75
12620,10.5,9.25,10.5,53.5
12700,8.75,8.5,9.25,59.5
12940,6.25,5.0,6.25,36.5
12980,10.75,10.5,10.75,30.25
13020,11.25,10.5,11.25,36.5
13140,8.0,3.75,8.0,25.5
13220,10.75,9.5,10.75,39.5
13380,10.25,2,11.25,48.75
13460,13.0,2,13.0,48.5
13740,9.5,9.0,9.5,47.0
13780,12.0,7.5,12.0,27.5
13820,8.25,4.5,8.25,34.75
13900,17.5,17.0,19.25,25.0
13980,5.0,2,5.0,42.5
14010,17.0,13.25,17.0,79.25
14020,13.0,10.75,13.0,80.25
14100,10.5,10.0,10.75,53.75
14260,9.25,7.75,9.25,36.25
14460,8.0,7.5,9.0,15.5
14500,6.25,5.0,6.25,59.5
14540,9.25,5.5,9.25,97.5
14740,8.75,8.25,8.75,32.75
14860,6.75,6.25,6.75,28.5
15180,12.0,7.25,12.0,31.0
15260,14.0,10.75,10.75,43.25
15380,9.25,7.25,9.5,17.75
15500,11.75,9.75,11.75,81.5
15540,7.5,6.75,7.5,56.0
15680,12.75,11.25,16.25,27.5
15940,10.25,7.5,10.5,28.5
15980,7.0,6.75,7.0,14.0
16020,15.5,9.5,9.5,50.25
16060,11.25,11.0,11.25,58.75
16180,10.5,2,10.5,32.75
16220,15.5,2,15.5,25.75
16300,10.25,6.75,6.75,48.0
16540,9.75,8.25,9.75,56.75
16580,10.75,9.25,11.0,66.0
16620,9.0,8.5,9.0,37.25
16700,7.25,7.0,7.25,29.0
16740,6.25,6.0,6.25,21.5
16820,2,2,2,54.0
16860,11.25,9.75,12.25,36.25
16940,12.5,9.5,12.5,69.75
16980,9.25,8.5,9.75,14.0
17020,5.25,2,5.25,63.25
17140,7.5,6.5,9.5,18.25
17300,7.75,7.25,7.75,52.5
17420,10.5,9.75,13.5,51.0
17460,7.75,6.25,10.0,18.0
17660,13.0,11.25,13.0,35.0
17780,13.0,3.75,3.75,59.75
17820,8.0,5.75,8.0,30.75
17860,8.75,6.25,8.75,67.25
17900,9.0,7.75,9.0,45.0
17980,8.0,7.75,8.25,32.0
18020,18.5,11.5,18.5,38.5
18140,8.25,7.0,8.25,25.5
18580,6.25,2,6.25,38.25
18700,14.75,11.25,14.75,100.75
18880,9.25,8.75,9.25,37.0
19060,12.5,2,12.5,49.75
19100,8.0,7.25,8.0,16.25
19140,13.5,12.25,12.25,35.25
19180,12.25,11.0,12.25,43.0
19300,13.5,11.5,13.5,44.75
19340,7.0,6.75,7.0,38.5
19430,8.25,8.0,9.0,28.75
19460,12.75,12.25,13.0,44.0
19500,10.0,6.75,10.75,48.75
19660,5.0,2,5.0,26.0
19740,8.75,7.5,7.5,16.5
19780,7.75,6.5,7.75,31.25
19820,7.25,6.25,7.25,19.0
20020,10.0,2,10.0,50.5
20100,12.5,8.5,12.5,36.75
20220,13.0,10.0,13.0,44.75
20260,5.75,4.0,5.75,33.0
20500,8.5,5.0,5.0,58.75
20700,12.25,11.25,12.25,57.0
20740,11.75,8.5,11.75,55.75
20940,13.75,13.0,14.5,47.0
21060,10.5,8.75,10.5,38.75
21140,12.25,8.5,10.25,39.75
21300,10.75,8.75,11.0,27.75
21340,7.25,4.5,7.75,18.75
21420,18.75,8.25,18.75,34.25
21500,10.5,8.75,11.0,33.0
21660,9.5,6.0,6.0,47.0
21780,9.0,6.0,6.0,34.75
22020,11.25,8.25,11.25,45.75
22140,9.75,9.0,9.75,59.5
22180,6.75,6.25,6.75,23.0
22220,11.5,10.5,11.5,63.0
22380,4.0,2,4.0,81.0
22420,7.75,7.0,8.0,25.0
22500,10.0,9.0,10.0,52.75
22520,12.5,11.75,12.5,60.5
22540,13.25,7.0,7.0,32.25
22660,10.75,2.75,2.75,73.25
22900,7.0,5.5,7.0,52.75
23060,7.25,6.75,9.25,30.5
23420,7.5,2,2,26.75
23460,13.25,10.5,13.25,44.25
23540,8.25,6.75,8.25,38.25
23580,11.5,10.0,11.5,38.25
23900,10.75,9.0,9.0,39.75
24020,6.75,4.5,6.75,37.75
24140,12.5,11.25,13.25,36.25
24220,8.0,7.5,10.75,70.75
24260,12.25,7.0,7.0,54.0
24300,20.75,9.75,23.75,38.0
24340,8.5,7.0,8.75,18.75
24420,8.5,2,8.5,44.0
24500,12.5,10.0,12.5,54.25
24540,4.75,2,4.75,52.5
24580,10.0,7.5,10.25,27.25
24660,8.0,7.5,8.25,29.75
24780,16.0,10.75,16.0,57.75
24860,8.75,5.75,8.75,33.25
25060,10.0,9.25,10.0,44.75
25180,12.25,11.0,12.25,36.75
25220,12.25,11.0,12.25,37.5
25260,11.25,6.25,11.25,54.5
25420,9.5,9.0,5.75,31.5
25540,7.25,6.25,8.0,26.5
25620,9.75,2,9.75,82.0
25860,9.0,2,9.0,33.5
25940,4.5,2,4.5,38.0
25980,18.0,16.75,18.0,40.25
26140,11.25,9.75,11.25,40.75
26300,12.0,2,12.0,30.0
26380,10.0,9.75,9.75,50.0
26420,8.25,8.0,10.25,17.5
26580,9.25,8.25,9.25,36.75
26620,13.25,9.5,13.25,40.0
26820,14.0,9.25,14.0,40.5
26900,9.0,8.75,9.0,25.75
26980,7.0,2,7.0,72.75
