msa,qc,qc,qcc,qcf
19340,7.5,4.25,4.5,29.75
19430,5.25,5.0,6.0,19.5
19460,11.75,6.75,12.0,74.5
19500,12.75,8.5,12.75,47.0
19660,5.25,5.0,11.75,43.5
19740,10.25,2.5,10.75,19.25
19780,20.25,6.75,7.25,89.5
19820,5.5,3.5,5.75,15.5
20020,11.5,8.5,11.5,81.5
20100,22.5,15.25,15.25,59.75
20220,13.5,10.25,13.5,45.5
20260,2,2,2,19.5
20500,5.25,4.75,8.0,34.5
20700,6.25,5.0,6.25,20.75
20740,8.0,2.25,2.25,56.75
20940,6.5,2.75,3.5,35.75
21060,9.5,6.25,6.25,54.5
21140,10.5,8.25,8.25,42.75
21300,2.25,2,2.25,18.0
21340,7.0,3.25,7.25,42.5
21420,6.25,2,6.25,46.5
21500,6.5,5.0,6.5,15.25
21660,6.75,2,6.75,26.5
21780,8.75,8.25,9.0,34.5
22020,6.25,5.75,6.5,102.25
22140,5.25,4.5,5.5,25.25
22180,9.25,8.25,9.5,36.25
22220,9.5,9.0,9.5,61.5
22380,2,2,2.25,28.5
22420,6.5,3.5,6.5,22.25
22500,8.75,3.25,8.75,69.75
22520,23.75,7.25,23.75,63.5
22540,4.25,2,4.25,26.25
22660,2,2,2,61.5
22900,19.25,10.25,10.25,87.75
23060,7.75,4.5,4.5,29.0
23420,6.5,3.5,8.75,18.5
23460,21.75,10.25,30.75,70.5
23540,11.25,7.5,11.25,42.0
23580,17.5,15.5,20.75,111.5
23900,7.75,4.25,7.75,30.75
24020,2.5,2,2.5,36.25
24140,11.25,10.25,11.25,41.0
24220,5.5,2,5.75,44.25
24260,4.5,2,4.5,54.25
24300,6.5,2,6.5,67.5
24340,7.5,6.0,8.5,23.0
24420,6.5,2,6.5,28.75
24500,7.0,3.25,7.5,19.5
24540,4.25,3.25,6.0,51.5
24580,9.75,2.5,2.5,30.75
24660,11.25,8.5,8.5,30.75
24780,5.5,2,5.5,117.75
24860,10.25,9.25,10.25,45.75
25060,9.75,4.25,9.75,76.25
25180,11.5,10.5,13.25,41.0
25220,20.25,12.25,23.75,58.25
25260,4.25,2.75,4.25,83.5
25420,3.5,2.75,3.5,26.25
25540,2.75,2,3.25,10.5
25620,21.25,16.75,16.75,84.5
25860,9.0,8.75,9.0,33.25
25940,10.5,7.25,10.5,56.5
25980,19.75,17.75,21.25,54.25
26140,12.5,3.25,13.75,35.5
26300,17.25,3.25,17.25,48.75
26380,7.75,7.5,9.0,111.5
26420,24.75,13.5,27.0,62.75
26580,6.75,6.5,7.25,24.5
26620,16.75,16.25,16.75,96.25
26820,18.75,2,23.25,51.75
26900,12.5,5.5,12.5,49.5
26980,6.0,4.75,6.0,75.5
27060,5.5,3.75,5.5,15.0
27100,6.25,5.25,7.5,41.5
27140,4.75,2.75,8.5,70.0
27180,10.75,10.0,10.75,108.5
27260,12.25,10.25,12.25,83.5
27340,10.25,2,10.25,79.25
27500,4.75,4.25,4.75,50.0
27620,7.25,2,7.25,51.75
27740,8.75,7.75,7.75,40.0
27780,5.25,4.5,5.5,20.75
27860,14.25,9.75,14.5,101.75
27900,8.5,2,8.5,72.5
28020,7.75,2,8.5,21.5
28100,6.5,5.5,5.5,56.25
28140,7.25,6.75,9.75,28.75
28420,10.25,3.5,10.25,42.25
28660,20.5,5.5,5.5,78.25
28700,9.75,9.5,10.0,34.5
28740,2,2,2,22.5
28940,9.75,6.75,10.5,45.25
29020,8.75,7.75,8.75,51.0
29100,7.75,5.25,7.75,36.5
29180,12.25,11.75,12.25,56.5
29200,5.25,2.75,6.0,81.5
29340,18.5,10.75,8.25,80.5
29420,4.75,2,5.5,83.75
29460,12.0,7.5,13.5,44.25
29540,6.25,5.25,6.25,16.75
29620,6.25,5.75,6.5,17.5
29700,29.25,8.5,29.25,133.75
29740,2,2,2.25,85.75
29820,5.5,2.75,5.5,28.5
29940,8.75,2.5,8.75,46.5
30020,15.0,14.5,15.0,105.25
30140,5.5,4.5,5.5,47.75
30300,10.75,2,10.75,18.25
30340,9.5,2,2,30.0
30460,3.25,2,3.75,31.0
30620,9.5,2.5,9.5,23.25
30700,22.25,12.75,13.75,66.75
30780,16.5,13.25,17.75,89.25
30860,6.75,2.25,6.75,32.25
30980,10.0,7.75,10.0,63.75
31020,5.75,2,5.75,28.25
31080,4.5,3.25,4.5,7.0
31140,3.5,2.75,6.75,33.0
31180,10.25,3.25,10.25,80.0
31340,5.0,4.5,5.0,64.75
31420,9.25,4.5,16.75,89.25
31460,2,2,2,39.5
31540,6.0,4.75,6.25,20.25
31700,5.5,4.75,5.5,31.25
31740,12.0,5.25,12.0,69.75
31860,9.25,7.5,10.0,38.25
31900,7.75,6.5,7.75,30.25
32580,19.0,14.75,20.75,52.75
32780,13.5,3.5,3.5,67.0
32820,16.25,11.5,16.25,56.5
32900,2.5,2,2.5,40.75
33100,6.75,4.25,10.0,17.25
33140,11.25,4.75,4.75,21.5
33220,5.75,2.75,8.0,37.25
33260,19.0,2,19.0,71.75
33340,5.5,3.75,7.25,15.5
33460,7.75,4.25,10.25,20.5
33540,12.5,2.5,12.5,57.75
33660,24.25,19.5,22.5,82.25
33700,6.5,4.25,9.25,28.5
33740,15.75,13.25,15.75,60.75
33780,3.75,3.5,4.0,32.75
33860,22.75,6.5,26.0,95.75
34060,3.25,2,3.25,22.75
34100,14.25,12.5,14.25,39.25
34580,6.25,2,6.25,29.25
34620,6.25,3.5,6.5,23.5
34740,9.0,7.0,9.0,26.5
34820,11.5,10.75,11.5,72.25
34900,2,2,3.5,13.75
34940,10.25,9.25,10.25,88.5
34980,8.5,5.75,9.5,63.5
35100,10.75,6.75,10.75,45.0
35300,3.0,2.75,3.0,14.25
35380,5.25,4.5,6.5,42.75
35620,3.0,2,3.5,6.25
35660,4.25,3.5,2.25,25.25
35840,5.75,3.75,12.5,71.75
35980,4.75,3.25,4.75,20.0
36100,11.75,10.25,12.25,72.75
36140,7.0,3.25,9.75,24.25
36220,15.25,4.25,15.25,49.75
36260,7.25,5.25,7.25,33.5
36420,10.25,10.0,10.25,39.75
36500,8.75,8.5,8.75,45.25
36540,5.25,3.0,6.0,21.0
36740,11.75,9.5,13.25,104.75
36780,6.5,3.5,6.5,32.25
36980,11.25,9.5,11.25,61.0
37100,2.75,2,4.25,20.25
37340,13.75,10.5,10.5,51.75
37460,24.75,11.5,24.75,45.75
37620,10.0,6.5,10.0,36.25
37860,11.0,8.25,12.25,89.25
37900,8.5,8.25,8.75,40.75
37980,2.5,2,3.75,11.25
38060,5.25,3.5,5.25,21.5
38220,18.0,15.75,18.0,68.5
38300,5.25,5.0,5.25,13.25
38340,2.5,2.25,2.5,19.5
38540,6.75,6.25,6.75,30.25
38860,2.75,2,2.75,16.5
38900,4.5,4.0,4.5,15.0
38940,12.75,10.0,12.75,115.5
39100,2,2,2,12.5
39150,8.5,8.25,9.25,115.0
39300,3.25,2.75,3.25,11.5
39340,5.75,4.5,7.0,41.5
39380,7.5,5.5,7.5,48.25
39460,10.75,9.5,11.5,57.5
39540,4.5,2.25,4.5,34.25
39580,12.5,8.25,14.25,67.5
39660,10.25,3.75,11.75,33.75
39740,4.25,4.0,4.75,21.0
39820,6.0,2.25,2.25,32.75
39900,7.25,5.75,9.75,30.75
40060,3.75,2,4.0,27.25
40140,5.5,3.75,6.25,23.25
40220,8.75,5.0,8.75,46.0
40340,4.75,2,2,47.5
40380,3.5,2.5,3.5,17.75
40420,9.75,4.75,10.0,36.25
40580,9.5,7.0,10.25,38.75
40660,25.75,2,25.75,59.75
40900,4.5,3.0,5.75,24.5
40980,6.75,5.75,6.75,39.25
41060,9.5,6.75,7.5,68.5
41100,19.75,2,19.75,74.5
41140,4.75,4.25,4.75,49.5
41180,7.5,4.75,8.5,37.5
41420,4.75,3.75,5.25,29.25
41500,4.5,4.0,5.0,23.25
41540,8.0,6.75,8.0,26.25
41620,15.5,2.25,17.5,73.25
41660,11.5,11.25,15.75,55.75
41700,15.75,11.5,18.25,31.5
41740,6.75,4.5,7.5,17.25
41860,3.5,3.25,3.75,12.25
41940,3.25,2,3.5,14.75
42020,2.75,2,2.75,42.75
42100,2.25,2,2.25,18.25
42140,2,2,4.0,38.25
42200,3.0,2,3.0,24.75
42220,3.75,3.25,4.5,15.25
42340,11.75,8.25,11.75,109.75
42540,3.75,3.5,3.75,14.75
42660,3.75,3.25,4.0,13.25
42680,15.5,12.5,16.75,66.75
42700,8.25,7.75,9.75,30.5
43100,7.75,5.75,7.75,32.5
43300,23.5,2,23.5,74.25
43340,21.25,10.75,21.25,148.25
43420,2.5,2.25,2.5,27.5
43580,8.25,4.0,8.25,111.25
43620,11.25,8.75,11.25,67.0
43780,4.25,3.0,5.25,24.5
43900,15.75,8.5,11.5,77.75
44060,2,2,3.25,24.0
44100,7.75,2.75,7.75,39.25
44140,3.25,2.25,3.25,18.75
44180,8.75,7.75,11.0,78.75
44220,4.75,2,4.75,22.5
44300,5.75,2,2,28.5
44700,6.75,2.25,6.75,29.5
44940,11.0,5.25,11.75,50.5
45060,2.75,2.5,4.0,18.25
45220,8.5,5.0,25.0,55.25
45300,4.75,4.5,4.75,26.25
45460,12.5,7.25,3.75,55.0
45500,6.5,6.25,6.5,68.75
45540,7.5,2,7.5,266.75
45780,6.25,4.75,6.75,23.75
45820,13.75,10.0,14.25,53.5
45940,4.0,2,4.0,20.75
46060,5.25,2,6.0,27.25
46140,10.5,7.25,16.25,62.0
46220,18.75,13.0,20.5,71.25
46300,17.25,6.75,21.0,74.5
46340,15.75,15.5,15.75,83.0
46540,3.5,2.75,2.75,16.75
46660,21.5,17.25,23.25,64.75
46700,4.5,2.5,4.5,22.25
47020,14.25,7.75,7.75,68.25
47220,5.25,3.75,5.25,24.0
47260,5.25,3.0,5.75,21.5
47300,2,2,2,42.75
47380,10.25,7.75,10.25,83.5
47460,2,2,2,29.75
47580,11.75,2,11.75,158.75
47900,4.0,3.75,5.0,12.75
47940,14.75,8.5,3.25,56.5
48060,4.75,2,4.75,23.5
48140,6.0,2.25,2.5,42.75
48260,4.0,2,4.0,23.5
48300,3.25,3.0,3.25,25.0
48540,5.0,4.75,5.25,32.5
48620,11.5,11.25,11.5,62.5
48660,9.25,7.25,13.5,94.25
48700,2.5,2,2.5,27.75
48900,8.5,2.25,25.0,69.5
49020,3.25,2,3.25,24.25
49180,6.75,5.5,7.25,29.75
49340,3.25,2.5,4.0,12.75
49420,3.25,2,4.0,26.25
49620,4.5,2.5,4.5,20.75
49660,6.25,3.0,6.5,16.75
49700,14.0,7.0,7.0,36.25
49740,3.0,2,3.0,70.75
