msa,qc,qc,qcc,qcf
10180,8.75,4.75,13.5,70.5
10420,7.0,5.0,7.75,20.25
10500,7.75,7.0,11.0,77.75
10540,6.25,2.75,6.25,38.0
10580,3.5,3.0,3.5,16.25
10740,2.75,2.5,2.75,21.25
10780,15.75,9.25,15.75,42.5
10900,3.75,3.5,3.75,20.25
11020,8.5,4.5,8.75,27.25
11100,20.25,3.0,3.0,54.5
11180,11.0,4.25,11.0,50.75
11460,4.75,2.5,5.25,19.5
11500,15.5,9.25,9.25,67.75
11540,9.5,3.75,3.75,40.75
11700,4.5,2.75,5.75,28.25
12020,10.5,5.75,10.5,70.25
12060,13.5,6.0,14.5,41.5
12100,3.5,3.25,4.0,27.5
12220,22.0,17.5,22.0,86.0
12260,8.25,6.75,8.25,75.0
12420,11.5,9.5,11.5,51.25
12540,2,2,4.5,45.75
12580,4.5,2.75,5.75,12.5
12620,3.25,2.5,3.25,31.5
12700,3.75,2,4.0,20.75
12940,14.75,10.0,18.25,64.0
12980,2.25,2,2.25,25.5
13020,7.25,4.25,7.25,23.5
13140,12.75,11.0,13.25,66.75
13220,5.5,3.25,6.75,38.75
13380,15.25,7.25,15.25,45.5
13460,11.0,2,11.0,58.25
13740,4.25,3.25,4.5,37.75
13780,3.75,2.25,4.0,10.5
13820,11.75,11.5,12.0,65.75
13900,29.25,2.75,29.25,42.5
13980,2,2,2,29.75
14010,4.75,2,4.75,85.25
14020,10.5,2.25,10.5,30.75
14100,8.25,7.75,8.75,17.75
14260,22.0,5.25,22.75,75.0
14460,2.25,2,2.75,9.0
14500,2.5,2,2.75,16.5
14540,9.0,5.5,5.5,42.0
14740,9.75,2.25,2.25,27.25
14860,4.25,2.75,4.25,10.25
15180,10.25,5.75,11.25,135.75
15260,12.75,10.25,12.75,109.0
15380,4.25,2.25,4.25,9.0
15500,12.0,9.75,14.5,61.25
15540,5.25,3.5,3.5,31.75
15680,14.5,7.25,14.5,45.75
15940,10.75,5.75,5.75,18.75
15980,7.75,4.5,9.0,25.25
16020,7.75,2,7.75,37.75
16060,9.75,9.5,9.75,50.25
16180,2,2,2,13.25
16220,15.5,2,15.5,38.5
16300,4.75,3.25,5.5,70.75
16540,3.75,2,10.5,37.75
16580,7.25,2,7.25,61.5
16620,5.25,4.75,7.75,18.5
16700,7.75,7.5,7.75,51.5
16740,10.25,6.75,12.5,38.75
16820,2,2,2,28.75
16860,12.5,7.75,12.5,49.0
16940,15.5,8.25,15.5,35.75
16980,3.25,2.75,6.5,19.75
17020,2.75,2.25,2.75,24.75
17140,5.5,4.75,8.0,28.0
17300,10.5,7.5,10.5,69.25
17420,22.75,2,30.5,47.75
17460,5.75,5.25,5.75,17.75
17660,39.5,11.5,39.5,103.0
17780,4.5,2,4.5,67.25
17820,8.25,2.75,3.0,41.25
17860,4.25,3.5,4.25,58.75
17900,8.25,7.5,10.25,76.5
17980,17.75,10.0,2.25,57.25
18020,8.0,2,8.0,52.0
18140,10.0,9.0,10.0,22.0
18580,8.5,7.5,8.5,63.75
18700,6.75,6.5,6.75,29.25
18880,8.5,5.75,12.25,82.5
19060,4.75,2,4.75,23.25
19100,11.25,11.0,21.25,35.75
19140,15.25,7.0,15.25,47.5
19180,9.75,7.5,9.75,44.75
19300,36.75,35.75,36.75,158.75
