msa,qc,qcb,qca,qcf
10180,11.0,7.25,7.5,47.5
10420,6.75,5.75,7.0,28.5
10500,9.0,6.5,10.25,31.5
10540,6.0,2.25,6.0,30.5
10580,6.0,3.5,6.0,18.5
10740,5.25,2.75,5.25,18.5
10780,12.25,11.75,12.25,43.5
10900,3.0,2.0,3.0,21.25
11020,10.5,10.0,6.25,44.25
11100,10.75,10.25,4.5,35.5
11180,9.5,8.25,9.5,70.25
11460,9.5,6.0,9.5,74.5
11500,12.25,8.0,15.5,75.25
11540,10.5,8.25,8.5,42.75
11700,3.75,3.25,3.75,28.5
12020,8.5,8.0,8.75,84.0
12060,7.25,6.5,8.25,18.25
12100,9.5,8.5,10.0,39.25
12220,6.5,2.0,6.5,76.25
12260,6.75,6.0,6.75,29.5
12420,8.0,6.75,8.0,34.25
12540,3.0,2.0,3.0,36.75
12580,7.0,5.25,6.0,16.5
12620,5.0,2.0,5.0,47.75
12700,8.0,7.5,8.75,49.25
12940,7.0,5.75,7.0,36.75
12980,10.25,8.75,10.25,35.25
13020,10.75,9.0,10.75,29.25
13140,8.25,7.0,8.75,25.0
13220,9.25,5.25,9.25,48.25
13380,8.5,2.0,9.0,59.25
13460,12.25,7.75,7.75,49.75
13740,10.25,8.0,4.75,52.25
13780,7.75,6.75,7.75,20.25
13820,8.0,7.75,8.0,36.5
13900,12.5,7.0,12.5,28.0
13980,4.0,2.0,4.0,41.5
14010,18.75,12.75,5.75,88.5
14020,12.75,11.75,12.75,85.5
14100,9.5,9.25,10.75,37.0
14260,8.5,4.75,4.75,31.75
14460,5.5,5.0,7.0,14.0
14500,6.25,5.25,6.25,59.5
14540,10.25,10.0,10.25,84.0
14740,8.5,6.0,8.5,40.5
14860,7.0,5.0,7.75,27.25
15180,9.0,7.75,9.0,31.75
15260,18.0,9.5,9.5,46.25
15380,7.5,6.0,8.0,15.25
15500,9.25,8.5,9.25,80.0
15540,5.5,2.0,5.5,65.75
15680,10.75,8.5,10.75,25.75
15940,9.75,6.5,6.5,26.0
15980,7.25,6.75,7.25,16.5
16020,16.75,9.75,2.75,48.5
16060,9.5,6.75,9.5,67.0
16180,9.5,7.25,9.5,20.5
16220,13.5,6.25,13.5,22.25
16300,9.5,7.0,9.5,53.0
16540,8.0,4.0,8.0,26.25
16580,10.25,8.0,8.5,47.0
16620,8.0,7.25,10.0,35.75
16700,6.75,4.75,6.75,30.75
16740,6.75,5.5,7.0,19.0
16820,2.0,2.0,2.0,33.5
16860,7.25,5.75,7.25,30.5
16940,17.25,9.0,12.0,58.5
16980,8.25,6.5,8.25,13.5
17020,6.25,4.5,6.25,43.75
17140,5.75,4.0,6.5,17.25
17300,9.5,6.5,9.5,45.75
17420,9.25,9.0,2.0,49.75
17460,6.75,6.0,7.5,17.25
17660,10.25,9.25,10.25,28.5
17780,4.5,2.0,4.5,71.25
17820,6.0,5.5,6.0,25.75
17860,6.75,5.25,6.75,48.75
17900,9.5,7.5,9.75,53.0
17980,6.75,5.75,6.75,27.75
18020,16.5,11.5,16.5,34.25
18140,7.25,7.0,7.5,31.25
18580,6.25,2.0,6.75,35.5
18700,8.25,3.75,8.25,100.25
18880,9.0,7.0,7.0,39.25
19060,13.25,11.75,13.25,26.5
19100,7.75,7.0,7.75,14.5
19140,10.25,10.0,10.25,36.5
19180,10.75,9.0,7.0,38.25
19300,14.0,13.5,14.0,43.75
19340,6.75,5.25,6.75,37.25
19430,6.75,4.25,8.0,26.5
19460,12.75,11.25,12.75,49.5
19500,8.75,5.0,9.5,32.0
19660,5.5,5.0,5.5,25.0
19740,5.25,4.25,5.75,14.25
19780,6.75,6.5,7.0,28.0
19820,6.5,6.25,7.75,14.75
20020,11.75,10.0,10.0,56.75
20100,12.5,9.75,10.25,31.0
20220,17.0,14.5,17.0,47.0
20260,7.25,5.75,7.25,31.25
20500,8.25,4.5,4.5,65.25
20700,10.25,8.25,11.25,34.0
20740,9.5,8.0,9.5,44.5
20940,6.25,2.0,6.25,46.25
21060,9.5,6.25,6.25,40.75
21140,9.5,8.75,9.5,34.5
21300,7.75,7.5,7.75,24.0
21340,6.5,5.75,6.5,18.25
21420,19.75,19.25,8.75,28.0
21500,10.5,8.5,11.0,33.0
21660,8.75,8.0,2.25,49.25
21780,9.75,6.5,6.5,33.25
22020,10.75,7.0,10.75,52.75
22140,7.75,3.25,9.25,35.5
22180,7.25,6.0,7.5,22.5
22220,13.0,12.75,13.25,57.0
22380,2.0,2.0,2.0,78.25
22420,7.5,7.0,8.0,22.5
22500,11.75,8.75,8.75,45.25
22520,11.5,5.25,11.5,60.75
22540,5.25,2.0,5.25,30.75
22660,10.75,2.5,2.5,70.25
22900,6.25,5.75,6.25,47.5
23060,6.75,6.5,6.75,28.5
23420,6.75,2.25,2.25,27.25
23460,14.75,13.75,5.5,39.75
23540,9.25,7.0,2.0,92.75
23580,10.25,8.25,10.25,23.75
23900,9.25,8.75,9.25,33.0
24020,6.25,5.0,6.75,29.75
24140,12.75,9.0,12.75,39.5
24220,6.5,3.25,3.25,69.0
24260,13.25,8.0,8.0,60.75
24300,19.75,9.0,9.0,32.75
24340,9.5,6.5,9.5,20.0
24420,7.5,2.0,7.5,41.75
24500,13.5,10.25,4.5,37.5
24540,4.75,4.0,4.75,48.0
24580,8.75,7.75,8.75,29.25
24660,8.0,7.0,8.25,25.75
24780,14.75,13.0,14.75,69.0
24860,7.5,6.75,7.5,34.25
25060,11.5,8.5,11.5,40.25
25180,8.25,2.0,8.25,35.0
25220,11.75,10.5,11.75,38.5
25260,5.5,2.0,8.25,57.25
25420,6.0,5.25,6.0,25.75
25540,6.25,5.25,7.25,19.75
25620,10.25,9.75,10.25,60.0
25860,9.25,7.5,7.5,29.5
25940,5.25,2.0,5.25,29.5
25980,17.25,16.25,17.25,31.25
26140,11.75,9.75,11.75,25.75
26300,9.75,8.5,9.75,33.0
26380,10.5,7.5,11.25,61.5
26420,7.75,7.25,7.75,17.25
26580,7.75,6.0,7.75,31.5
26620,8.0,7.75,8.0,36.25
26820,12.75,9.5,2.75,36.0
26900,8.0,7.0,8.25,24.5
26980,9.75,6.75,10.75,64.0
27060,13.5,9.75,6.0,72.0
27100,7.5,5.5,7.5,25.25
27140,8.5,5.25,10.75,33.25
27180,14.5,11.0,14.5,47.25
27260,6.5,6.25,6.5,24.5
27340,9.75,5.5,5.5,38.0
27500,7.25,5.25,7.25,36.25
27620,8.0,2.0,8.0,46.5
27740,7.5,7.0,7.5,46.25
27780,8.0,7.0,8.0,35.75
27860,9.5,8.5,9.5,57.0
27900,10.25,8.5,8.5,30.75
28020,7.75,7.0,7.75,42.0
28100,9.5,7.5,9.5,35.75
28140,5.75,5.0,5.75,18.5
28420,9.0,7.75,7.75,43.25
28660,7.0,3.5,3.5,47.75
28700,8.75,8.5,9.25,30.5
28740,5.0,2.0,5.0,43.75
28940,6.75,5.75,6.75,35.5
29020,12.5,8.75,12.75,27.25
29100,14.5,9.0,9.0,54.0
29180,7.5,2.0,7.5,34.25
29200,10.0,6.75,6.75,81.25
29340,8.0,6.75,8.0,41.0
29420,2.5,2.0,2.5,39.0
29460,7.5,5.5,5.5,20.75
29540,9.0,8.25,9.0,18.5
29620,7.25,7.0,7.75,63.0
29700,12.0,11.5,12.75,46.25
29740,6.5,3.5,3.5,43.5
29820,9.25,6.75,6.75,21.75
29940,12.25,6.5,6.5,65.25
30020,12.5,11.5,6.25,66.75
30140,5.75,4.5,5.75,31.0
30300,19.25,11.75,11.75,34.25
30340,5.5,2.5,2.5,27.0
30460,6.0,5.5,6.0,47.5
30620,10.5,7.75,10.5,31.5
30700,9.75,8.0,10.0,40.75
30780,8.5,7.0,8.75,30.0
30860,10.0,6.5,10.0,50.25
30980,10.75,8.75,8.75,33.75
31020,7.5,3.25,8.5,34.75
31080,6.0,5.0,6.5,12.0
31140,5.0,4.25,5.0,23.25
31180,11.0,6.5,3.0,64.25
31340,4.25,2.25,4.25,40.75
31420,8.5,7.75,8.5,60.0
31460,4.0,2.0,4.0,43.0
31540,6.75,6.5,6.75,38.75
31700,6.5,5.25,6.5,31.5
31740,7.5,3.75,7.5,68.75
31860,9.0,3.25,9.0,52.0
31900,9.5,8.5,9.5,29.5
32580,8.5,2.0,8.5,29.5
32780,8.0,7.25,8.0,45.5
32820,7.75,6.75,3.0,22.25
32900,2.0,2.0,2.0,46.25
33100,6.5,5.25,6.5,16.25
33140,7.5,4.5,7.5,34.5
33220,11.75,7.5,7.5,24.25
33260,9.75,6.0,6.0,36.75
33340,6.0,5.75,7.5,19.25
33460,7.0,6.0,7.0,13.75
33540,15.0,13.5,15.0,35.0
33660,7.5,6.75,10.5,44.75
33700,6.0,3.5,6.0,22.75
33740,10.75,10.5,12.0,49.75
33780,9.0,7.75,9.0,36.25
33860,9.25,6.75,9.5,36.25
34060,6.0,5.5,6.0,59.0
34100,9.25,6.75,9.5,55.25
34580,9.0,7.75,9.0,31.0
34620,9.0,6.0,6.0,80.25
34740,9.0,8.25,9.0,35.5
34820,7.25,2.0,8.0,29.75
34900,6.25,3.75,6.25,40.5
34940,7.75,7.5,7.75,29.75
34980,7.0,6.5,7.0,25.75
35100,7.0,2.25,8.25,40.5
35300,6.75,6.25,6.75,22.5
35380,4.0,3.25,6.25,19.75
35620,6.25,6.0,6.75,10.75
35660,5.75,2.5,5.75,37.0
35840,5.75,5.0,5.75,25.25
35980,10.0,8.75,10.0,38.5
36100,5.25,3.0,5.25,23.75
36140,7.25,7.0,7.25,36.5
36220,9.75,7.25,9.75,20.5
36260,7.25,6.25,7.25,24.0
36420,6.5,5.75,7.5,19.75
36500,9.75,5.75,5.75,33.0
36540,6.75,6.5,7.75,20.75
36740,8.5,8.0,8.5,23.75
36780,6.0,4.25,6.0,50.0
36980,7.75,2.0,7.75,36.75
37100,5.5,2.75,5.75,21.5
37340,9.0,5.75,5.75,25.5
37460,8.0,2.0,8.0,25.25
37620,12.25,9.0,12.25,35.5
37860,5.5,4.75,5.5,29.0
37900,9.0,6.75,9.0,32.5
37980,4.0,2.75,4.0,14.75
38060,5.75,5.5,5.75,12.75
38220,12.5,10.75,13.25,55.25
38300,6.75,6.25,6.75,19.5
38340,8.25,8.0,8.25,63.0
38540,15.5,8.75,8.75,36.5
38860,9.0,8.5,9.0,28.0
38900,6.5,6.25,7.5,15.25
38940,8.25,6.75,8.25,28.0
39100,5.25,4.75,5.25,25.0
39150,7.0,6.75,7.0,32.0
39300,6.25,5.5,6.25,18.25
39340,8.25,4.5,8.25,70.75
39380,9.5,9.25,9.5,36.5
39460,6.0,2.5,6.0,23.5
39540,6.5,4.5,6.5,30.5
39580,8.0,7.5,8.5,34.5
39660,12.75,5.75,5.75,31.0
39740,8.0,5.5,8.0,28.0
39820,8.25,3.25,3.25,45.5
39900,7.5,2.5,2.5,28.25
40060,7.25,7.0,7.25,23.5
40140,6.5,5.25,6.75,15.5
40220,5.75,5.25,5.75,37.25
40340,7.5,7.25,7.5,67.0
40380,8.0,5.5,8.75,19.0
40420,10.0,6.75,10.0,28.75
40580,13.25,10.0,13.5,28.25
40660,17.0,15.5,17.0,29.75
40900,5.5,2.0,5.75,26.5
40980,8.25,6.5,8.25,42.0
41060,10.0,8.0,10.5,86.25
41100,8.75,6.25,8.75,36.75
41140,10.25,8.0,8.0,42.5
41180,4.75,2.0,5.75,15.5
41420,8.0,4.75,5.0,31.5
41500,8.75,7.25,8.75,24.75
41540,9.0,8.25,9.0,30.0
41620,7.5,6.25,7.75,20.0
41660,12.0,8.5,12.0,26.25
41700,7.5,7.0,7.5,24.25
41740,7.25,7.0,7.5,16.0
41860,7.75,4.25,7.75,16.0
41940,7.75,6.5,8.0,17.0
42020,7.25,3.25,7.5,68.75
42100,7.0,6.75,7.0,64.0
42140,8.5,7.0,2.0,29.75
42200,5.0,2.0,5.0,55.25
42220,7.25,6.75,8.25,27.75
42340,8.0,7.25,8.0,34.25
42540,5.75,4.5,5.75,30.5
42660,6.5,6.25,7.0,14.75
42680,8.25,7.5,8.25,26.25
42700,7.5,2.0,8.75,34.0
43100,11.0,6.25,6.25,31.75
43300,12.5,7.75,7.75,40.25
43340,9.0,6.0,9.0,31.5
43420,3.25,2.0,3.5,44.0
43580,11.0,8.0,5.0,52.0
43620,8.5,8.0,10.0,50.5
43780,8.25,7.0,8.5,24.0
43900,7.75,7.0,8.0,30.0
44060,7.25,4.75,7.25,34.0
44100,8.0,7.0,8.0,36.25
44140,8.0,5.5,8.0,26.75
44180,9.25,7.5,7.5,34.75
